filename,address,city,state,zipcode,map_year,image_captured_date,image_type,link
215 Roberts Ave Glenside PA 19038.jpg,215 Roberts Ave,Glenside,PA,19038,2022 Google,18-Sep,Picture,"https://www.google.com/maps/place/215+Roberts+Ave,+Glenside,+PA+19038/@40.1051478,-75.1533482,3a,75y,124.39h,90t/data=!3m7!1e1!3m5!1s59NUO5G4iMqyR82Xx70Acg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D59NUO5G4iMqyR82Xx70Acg%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D124.392296%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6b09dbe01aa81:0xb6bd5cf5c9782f63!8m2!3d40.1049947!4d-75.153056"
215 Ruscombe Ave Glenside PA 19038.jpg,215 Ruscombe Ave,Glenside,PA,19038,2022 Google,18-Sep,Picture,"https://www.google.com/maps/place/215+Ruscombe+Ave,+Glenside,+PA+19038/@40.1148302,-75.1692271,3a,75y,125.76h,90t/data=!3m7!1e1!3m5!1sgDwCXBLoOemvjERtsosTCA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DgDwCXBLoOemvjERtsosTCA%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D125.758316%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6ba64884b03a1:0x68dca35cce8d4941!8m2!3d40.1147141!4d-75.1690165"
215 Shady Ln Huntingdon Valley PA 19006.jpg,215 Shady Ln,Huntingdon Valley,PA,19006,2022 Google,22-Jun,Picture,"https://www.google.com/maps/place/215+Shady+Ln,+Huntingdon+Valley,+PA+19006/@40.0860243,-75.0832668,3a,75y,357.62h,90t/data=!3m7!1e1!3m5!1sIGSKpnnr-FEYzXPwy17NQQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DIGSKpnnr-FEYzXPwy17NQQ%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D357.62173%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m6!3m5!1s0x89c6b1408d90a433:0x3aaaf3220901b74!8m2!3d40.0861885!4d-75.0832757!10e5"
215 Station Ave Glenside PA 19038.jpg,215 Station Ave,Glenside,PA,19038,2022 Google,19-Sep,Picture,"https://www.google.com/maps/place/215+Station+Ave,+Glenside,+PA+19038/@40.1084967,-75.1737209,3a,75y,318.61h,90t/data=!3m7!1e1!3m5!1s0t5CX-ku2Qmh8GGtXlGbjg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D0t5CX-ku2Qmh8GGtXlGbjg%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D318.60654%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6ba68e2118d1f:0x7c82bd812fa4e0b9!8m2!3d40.108685!4d-75.173939"
215 Sylvania Ave Glenside PA 19038.jpg,215 Sylvania Ave,Glenside,PA,19038,2022 Google,18-Sep,Picture,"https://www.google.com/maps/place/215+Sylvania+Ave,+Glenside,+PA+19038/@40.1045331,-75.152517,3a,75y,131.84h,90t/data=!3m7!1e1!3m5!1sImZtfkyaZSdMtaYgxFDLaA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DImZtfkyaZSdMtaYgxFDLaA%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D131.84186%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6b09dc8eaa1ef:0x56d3f7a9dc1a3d6a!8m2!3d40.1043393!4d-75.1522351"
215 Terminal Ave Glenside PA 19038.jpg,215 Terminal Ave,Glenside,PA,19038,2022 Google,18-Sep,Picture,"https://www.google.com/maps/place/215+Terminal+Ave,+Glenside,+PA+19038/@40.095483,-75.2080623,3a,75y,51.35h,90t/data=!3m7!1e1!3m5!1sGaC9O8hGXOAQYuqLlmPdZg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DGaC9O8hGXOAQYuqLlmPdZg%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D51.35426%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6bbce1c1b4033:0x783a981cf25cf1c4!8m2!3d40.0956622!4d-75.2082117"
215 Woodlyn Ave Glenside PA 19038.jpg,215 Woodlyn Ave,Glenside,PA,19038,2022 Google,19-Sep,Picture,"https://www.google.com/maps/place/215+Woodlyn+Ave,+Glenside,+PA+19038/@40.1033698,-75.1495598,3a,75y,110.67h,90t/data=!3m7!1e1!3m5!1sJdLpiNr2EXzGVpsl8aAFFA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DJdLpiNr2EXzGVpsl8aAFFA%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D110.67146%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6b09c04944b61:0xa14944027687498b!8m2!3d40.1032863!4d-75.1492708"
215 Yeakel Ave Glenside PA 19038.jpg,215 Yeakel Ave,Glenside,PA,19038,2022 Google,18-Sep,Picture,"https://www.google.com/maps/place/215+Yeakel+Ave,+Glenside,+PA+19038/@40.0922803,-75.2099446,3a,75y,127.97h,90t/data=!3m7!1e1!3m5!1s_y2BY95hTopJgGxA7Y3xvw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D_y2BY95hTopJgGxA7Y3xvw%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D127.96842%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6bbd0e21c2071:0x57c590499765f27d!8m2!3d40.092017!4d-75.2101881"
2150 Clearview Ave Abington PA 19001.jpg,2150 Clearview Ave,Abington,PA,19001,2022 Google,18-Aug,Picture,"https://www.google.com/maps/place/2150+Clearview+Ave,+Abington,+PA+19001/@40.1265569,-75.1225279,3a,75y,231.42h,90t/data=!3m7!1e1!3m5!1s2QLAx9Mn3sZb1QiEbjahqA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D2QLAx9Mn3sZb1QiEbjahqA%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D231.42476%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6b044fcbdd02b:0x14536039c45286e4!8m2!3d40.1264381!4d-75.1227265"
2150 Edge Hill Rd Huntingdon Valley PA 19006.jpg,2150 Edge Hill Rd,Huntingdon Valley,PA,19006,2022 Google,19-Jul,Picture,"https://www.google.com/maps/place/2150+Edge+Hill+Rd,+Huntingdon+Valley,+PA+19006/@40.136209,-75.1016484,3a,75y,319.69h,90t/data=!3m7!1e1!3m5!1sq6jN2BV-sfNJXWxwv5e4jw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3Dq6jN2BV-sfNJXWxwv5e4jw%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D319.6908%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m6!3m5!1s0x89c6b1c95646c017:0xfa79c80848c6301!8m2!3d40.1363819!4d-75.1018345!10e5"
2150 Jefferson Ln Huntingdon Valley PA 19006.jpg,2150 Jefferson Ln,Huntingdon Valley,PA,19006,2022 Google,22-Jun,Picture,"https://www.google.com/maps/place/Arcadia+at+Inverness+Glen,+2150+Jefferson+Ln,+Huntingdon+Valley,+PA+19006/@40.1238264,-75.0809863,3a,75y,301.15h,90t/data=!3m7!1e1!3m5!1sjXf3dsSZoNH2Yd4r8kD09A!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DjXf3dsSZoNH2Yd4r8kD09A%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D301.14578%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m6!3m5!1s0x89c6b196800414df:0x2950199070055cb5!8m2!3d40.1240681!4d-75.0815101!10e5"
