filename,address,city,state,zipcode,map_year,image_captured_date,image_type,link
520 Waln Rd Glenside PA 19038.jpg,520 Waln Rd,Glenside,PA,19038,2022 Google,18-Oct,Picture,"https://www.google.com/maps/place/520+Waln+Rd,+Glenside,+PA+19038/@40.1046234,-75.1722745,3a,75y,328.09h,90t/data=!3m7!1e1!3m5!1sITD7FFVXWEPAwUsPQ6UJBg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DITD7FFVXWEPAwUsPQ6UJBg%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D328.08844%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6ba6bf37b8e63:0x2c3b3379f313c35!8m2!3d40.1048222!4d-75.1724364"
520 Woodward Dr Huntingdon Valley PA 19006.jpg,520 Woodward Dr,Huntingdon Valley,PA,19006,2022 Google,18-Oct,Picture,"https://www.google.com/maps/place/520+Woodward+Dr,+Huntingdon+Valley,+PA+19006/@40.1372955,-75.0448877,3a,75y,223.91h,90t/data=!3m7!1e1!3m5!1sc0JdwgtyJ8xuiOzwS8jUaA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3Dc0JdwgtyJ8xuiOzwS8jUaA%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D223.90594%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m6!3m5!1s0x89c6b20ef4e91b2f:0x5347372d92558e8c!8m2!3d40.1370598!4d-75.0451889!10e5"
520 Wyndmoor Ave Glenside PA 19038.jpg,520 Wyndmoor Ave,Glenside,PA,19038,2022 Google,19-Oct,Picture,"https://www.google.com/maps/place/520+Wyndmoor+Ave,+Wyndmoor,+PA+19038/@40.0789551,-75.194,3a,75y,121.9h,90t/data=!3m7!1e1!3m5!1sUmFK_rHCS6ob803_pKGPdg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DUmFK_rHCS6ob803_pKGPdg%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D121.902916%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6b9869f1f5aed:0x45c48e6fb20935ee!8m2!3d40.0788509!4d-75.1937747"
521 Anne St Huntingdon Valley PA 19006.jpg,521 Anne St,Huntingdon Valley,PA,19006,2022 Google,22-Jun,Picture,"https://www.google.com/maps/place/521+Anne+St,+Huntingdon+Valley,+PA+19006/@40.1200072,-75.0629317,3a,75y,58.24h,90t/data=!3m7!1e1!3m5!1sxMW1V5B5bn0Cl1D7lPnsmA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DxMW1V5B5bn0Cl1D7lPnsmA%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D58.237%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m6!3m5!1s0x89c6b189bf3072db:0xb9924dc1b34306c7!8m2!3d40.1201112!4d-75.0627117!10e5"
521 Beaver Rd Glenside PA 19038.jpg,521 Beaver Rd,Glenside,PA,19038,2022 Google,18-Oct,Picture,"https://www.google.com/maps/place/521+Beaver+Rd,+Glenside,+PA+19038/@40.1003848,-75.1661395,3a,75y,140.22h,90t/data=!3m7!1e1!3m5!1sUNskQZTUdzNqIcDeMgK_Cw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DUNskQZTUdzNqIcDeMgK_Cw%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D140.22354%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6ba72ab1a82ef:0xb97ae29f0af549c9!8m2!3d40.1002177!4d-75.1659613"
521 E Gravers Ln Glenside PA 19038.jpg,521 E Gravers Ln,Glenside,PA,19038,2022 Google,19-Oct,Picture,"https://www.google.com/maps/place/521+E+Gravers+Ln,+Wyndmoor,+PA+19038/@40.0808024,-75.1992211,3a,75y,315.26h,90t/data=!3m7!1e1!3m5!1sTV9RSH4RSqwV9syui0FIOg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DTV9RSH4RSqwV9syui0FIOg%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D315.2593%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6b981b95435f1:0x97ef946410f3d0d4!8m2!3d40.0809682!4d-75.1994306"
521 E Mermaid Ln Glenside PA 19038.jpg,521 E Mermaid Ln,Glenside,PA,19038,2022 Google,19-Oct,Picture,"https://www.google.com/maps/place/521+E+Mermaid+Ln,+Wyndmoor,+PA+19038/@40.0757501,-75.1899894,3a,75y,273.27h,90t/data=!3m7!1e1!3m5!1spRZ0WYS5iteUff3M5IG0tw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DpRZ0WYS5iteUff3M5IG0tw%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D273.27295%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6b98582c416a9:0x25a67d0cf6ffa7b1!8m2!3d40.0757686!4d-75.1902641"
521 E Moreland Ave Glenside PA 19038.jpg,521 E Moreland Ave,Glenside,PA,19038,2022 Google,19-Oct,Picture,"https://www.google.com/maps/place/521+E+Moreland+Ave,+Wyndmoor,+PA+19038/@40.0776086,-75.1908036,3a,75y,314.8h,90t/data=!3m7!1e1!3m5!1sI9e291VFHH6zWvginzQeUg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DI9e291VFHH6zWvginzQeUg%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D314.8044%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6b985dd77df7f:0x4d4bf951a0125718!8m2!3d40.0777892!4d-75.1910394"
521 E Willow Grove Ave Glenside PA 19038.jpg,521 E Willow Grove Ave,Glenside,PA,19038,2022 Google,19-Oct,Picture,"https://www.google.com/maps/place/521+E+Willow+Grove+Ave,+Wyndmoor,+PA+19038/@40.0783981,-75.1930455,3a,75y,308.52h,90t/data=!3m7!1e1!3m5!1spc9XQdzvcEfh7NtAJjxMBg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3Dpc9XQdzvcEfh7NtAJjxMBg%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D308.52414%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6b984278f1f57:0x855341b5ac8fe26b!8m2!3d40.078559!4d-75.1933068"
521 Edgley Ave Glenside PA 19038.jpg,521 Edgley Ave,Glenside,PA,19038,2022 Google,18-Aug,Picture,"https://www.google.com/maps/place/521+Edgley+Ave,+Glenside,+PA+19038/@40.105933,-75.1391296,3a,75y,140.11h,90t/data=!3m7!1e1!3m5!1sxtmu3dCgqe8f6Fg4YPTZ0w!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3Dxtmu3dCgqe8f6Fg4YPTZ0w%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D140.11322%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6b091c4ff2c9f:0xe845f0667d12d60c!8m2!3d40.105822!4d-75.1390093"
