filename,address,city,state,zipcode,map_year,image_captured_date,image_type,link
173 Clearview Ave Huntingdon Valley PA 19006.jpg,173 Clearview Ave,Huntingdon Valley,PA,19006,2022 Google,18-Aug,Picture,"https://www.google.com/maps/place/173+Clearview+Ave,+Huntingdon+Valley,+PA+19006/@40.1405536,-75.0220741,3a,75y,49.94h,90t/data=!3m7!1e1!3m5!1sK8uk8IsbXcvc8owrbifLEg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DK8uk8IsbXcvc8owrbifLEg%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D49.938812%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m6!3m5!1s0x89c6b278986dd3b5:0x89706bc28be1edd4!8m2!3d40.1407606!4d-75.0217533!10e5"
173 Marc Ln Huntingdon Valley PA 19006.jpg,173 Marc Ln,Huntingdon Valley,PA,19006,2022 Google,18-Aug,Picture,"https://www.google.com/maps/place/173+Marc+Ln,+Huntingdon+Valley,+PA+19006/@40.1367773,-75.0304039,3a,75y,66.91h,90t/data=!3m7!1e1!3m5!1sK5j89YgIEqB69mVHBsutxQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DK5j89YgIEqB69mVHBsutxQ%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D66.91344%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m6!3m5!1s0x89c6b2713739c4cb:0x5deca20a9f82930!8m2!3d40.1368596!4d-75.0301515!10e5"
1730 E Willow Grove Ave Glenside PA 19038.jpg,1730 E Willow Grove Ave,Glenside,PA,19038,2022 Google,19-Sep,Picture,"https://www.google.com/maps/place/1730+E+Willow+Grove+Ave,+Glenside,+PA+19038/@40.0962466,-75.180962,3a,75y,14.5h,90t/data=!3m7!1e1!3m5!1scOxRDGms5EMdq0Zk4PV39Q!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DcOxRDGms5EMdq0Zk4PV39Q%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D14.49799%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6ba3c2d25843b:0x43807a9f97815315!8m2!3d40.0961281!4d-75.180326"
1730 Ferndale Ave Abington PA 19001.jpg,1730 Ferndale Ave,Abington,PA,19001,2022 Google,18-Aug,Picture,"https://www.google.com/maps/place/1730+Ferndale+Ave,+Abington,+PA+19001/@40.1326072,-75.1168368,3a,75y,305.94h,90t/data=!3m7!1e1!3m5!1sgTCqr9We5_9AmCvxG4y_vQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DgTCqr9We5_9AmCvxG4y_vQ%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D305.93643%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6b048368f7aa1:0x13b9e6c541084178!8m2!3d40.1326917!4d-75.1169792"
1730 Susquehanna Rd Abington PA 19001.jpg,1730 Susquehanna Rd,Abington,PA,19001,2022 Google,18-Aug,Picture,"https://www.google.com/maps/place/1730+Susquehanna+Rd,+Abington,+PA+19001/@40.1124047,-75.1184018,3a,75y,221.08h,90t/data=!3m7!1e1!3m5!1st6E3X49gP3pN3Rg7B52qlw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3Dt6E3X49gP3pN3Rg7B52qlw%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D221.08278%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6b0f83aafcdff:0x1e364acd73c53a44!8m2!3d40.1120996!4d-75.1187581"
1730 Woodland Rd Abington PA 19001.jpg,1730 Woodland Rd,Abington,PA,19001,2022 Google,19-Aug,Picture,"https://www.google.com/maps/place/1730+Woodland+Rd,+Abington,+PA+19001/@40.1177097,-75.1130901,3a,75y,209.31h,90t/data=!3m7!1e1!3m5!1syjNHeSeST1I-8DW-PokPCg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DyjNHeSeST1I-8DW-PokPCg%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D209.31314%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6b0541b870aa5:0x74b5f37632cf6cef!8m2!3d40.1174509!4d-75.1132844"
1731 Edge Hill Rd Abington PA 19001.jpg,1731 Edge Hill Rd,Abington,PA,19001,2022 Google,19-Aug,Picture,"https://www.google.com/maps/place/1731+Edge+Hill+Rd,+Abington,+PA+19001/@40.1301788,-75.1114585,3a,75y,153.3h,90t/data=!3m7!1e1!3m5!1sYWysUUQt8AKqJzuyl0aDnw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DYWysUUQt8AKqJzuyl0aDnw%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D153.30002%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m6!3m5!1s0x89c6b04ba6a572ef:0xe30a62e1a1078f42!8m2!3d40.1295892!4d-75.111072!10e5"
1731 Reading Rd Huntingdon Valley PA 19006.jpg,1731 Reading Rd,Huntingdon Valley,PA,19006,2022 Google,12-Sep,Picture,"https://www.google.com/maps/place/1731+Reading+Rd,+Huntingdon+Valley,+PA+19006/@40.1589313,-75.0697369,3a,75y,25.51h,90t/data=!3m7!1e1!3m5!1sQtDO89aN_cv-XjwJToI0VQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DQtDO89aN_cv-XjwJToI0VQ%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D25.512333%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656!4m6!3m5!1s0x89c6ae0f0bc15fc7:0x576b5bdaf5b082b4!8m2!3d40.1591107!4d-75.0696245!10e5"
1733 Melmar Rd Huntingdon Valley PA 19006.jpg,1733 Melmar Rd,Huntingdon Valley,PA,19006,2022 Google,22-Jun,Picture,"https://www.google.com/maps/place/1733+Melmar+Rd,+Huntingdon+Valley,+PA+19006/@40.1062012,-75.0696329,3a,75y,354.12h,90t/data=!3m7!1e1!3m5!1seSZxS0V2KG53UTSO9qxlvg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DeSZxS0V2KG53UTSO9qxlvg%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D354.11853%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m6!3m5!1s0x89c6b1788bc8f0d1:0x77ebdf9dcd296795!8m2!3d40.1064834!4d-75.0696701!10e5"
1733 Rockwell Rd Abington PA 19001.jpg,1733 Rockwell Rd,Abington,PA,19001,2022 Google,19-Aug,Picture,"https://www.google.com/maps/place/1733+Rockwell+Rd,+Abington,+PA+19001/@40.1327481,-75.1178796,3a,75y,119.48h,90t/data=!3m7!1e1!3m5!1s3urejUZa5wHaf51qkcNG_w!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D3urejUZa5wHaf51qkcNG_w%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D119.477585%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m6!3m5!1s0x89c6b0483f447abf:0xb4f99b9444b93a05!8m2!3d40.1326699!4d-75.117709!10e5"
