filename,address,city,state,zipcode,map_year,image_captured_date,image_type,link
973 Thrush Ln Huntingdon Valley PA 19006.jpg,973 Thrush Ln,Huntingdon Valley,PA,19006,2022 Google,19-Jul,Picture,"https://www.google.com/maps/place/973+Thrush+Ln,+Huntingdon+Valley,+PA+19006/@40.1535915,-75.047812,3a,75y,53.89h,90t/data=!3m7!1e1!3m5!1sVQsF4i-MebkvznALmUV-8w!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DVQsF4i-MebkvznALmUV-8w%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D53.894047%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m6!3m5!1s0x89c6adf03950f953:0x9cc6f4c9cd1fadbc!8m2!3d40.153725!4d-75.0475619!10e5"
974 Brown Ave Huntingdon Valley PA 19006.jpg,974 Brown Ave,Huntingdon Valley,PA,19006,2022 Google,22-Jun,Picture,"https://www.google.com/maps/place/974+Brown+Ave,+Huntingdon+Valley,+PA+19006/@40.0898008,-75.0861865,3a,75y,292.78h,90t/data=!3m7!1e1!3m5!1sLkQvZrFXdXa4j6GjRqI77w!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DLkQvZrFXdXa4j6GjRqI77w%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D292.78476%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6b11563a1c4f3:0xc49ed199fb5f2122!8m2!3d40.0898931!4d-75.0864603"
974 Byberry Rd Huntingdon Valley PA 19006.jpg,974 Byberry Rd,Huntingdon Valley,PA,19006,2022 Google,19-Oct,Picture,"https://www.google.com/maps/place/974+Byberry+Rd,+Huntingdon+Valley,+PA+19006/@40.1469178,-75.0544236,3a,75y,225.05h,90t/data=!3m7!1e1!3m5!1seLsVCoj6SzIsTqb_vMSLTA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DeLsVCoj6SzIsTqb_vMSLTA%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D225.05267%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m6!3m5!1s0x89c6adf8b7ba96e1:0xf0f2846299bd4047!8m2!3d40.1467372!4d-75.0546578!10e5"
974 Thrush Ln Huntingdon Valley PA 19006.jpg,974 Thrush Ln,Huntingdon Valley,PA,19006,2022 Google,19-Jul,Picture,"https://www.google.com/maps/place/974+Thrush+Ln,+Huntingdon+Valley,+PA+19006/@40.1536486,-75.0479069,3a,75y,217.94h,90t/data=!3m7!1e1!3m5!1s334ou3TjAVLNrqzpp5Z18A!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D334ou3TjAVLNrqzpp5Z18A%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D217.9429%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m6!3m5!1s0x89c6adf06b1d70b9:0x4f05f163c51c5a35!8m2!3d40.1534285!4d-75.0481323!10e5"
975 Brown Ave Huntingdon Valley PA 19006.jpg,975 Brown Ave,Huntingdon Valley,PA,19006,2022 Google,22-Jun,Picture,"https://www.google.com/maps/place/975+Brown+Ave,+Huntingdon+Valley,+PA+19006/@40.0898008,-75.0861865,3a,75y,131.34h,90t/data=!3m7!1e1!3m5!1sLkQvZrFXdXa4j6GjRqI77w!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DLkQvZrFXdXa4j6GjRqI77w%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D131.34239%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6b11560171ecb:0x94b1f014f516fb1c!8m2!3d40.0896766!4d-75.086004"
975 Wesley Ave Huntingdon Valley PA 19006.jpg,975 Wesley Ave,Huntingdon Valley,PA,19006,2022 Google,22-Jun,Picture,"https://www.google.com/maps/place/975+Wesley+Ave,+Huntingdon+Valley,+PA+19006/@40.0902594,-75.0873092,3a,75y,114.73h,90t/data=!3m7!1e1!3m5!1su1dqiDv8xHzqiWYwR3nyow!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3Du1dqiDv8xHzqiWYwR3nyow%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D114.727936%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m6!3m5!1s0x89c6b1157bd89789:0x563145cb9a22f6e0!8m2!3d40.0901667!4d-75.0870534!10e5"
976 Claire Ave Huntingdon Valley PA 19006.jpg,976 Claire Ave,Huntingdon Valley,PA,19006,2022 Google,22-Jun,Picture,"https://www.google.com/maps/place/976+Claire+Ave,+Huntingdon+Valley,+PA+19006/@40.090861,-75.0879827,3a,75y,311.64h,90t/data=!3m7!1e1!3m5!1sVf092VyVk7P9o1JOv5XXeg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DVf092VyVk7P9o1JOv5XXeg%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D311.64322%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6b11597662431:0xdb48ec39c98b3e29!8m2!3d40.0909761!4d-75.0881483"
976 Old Huntingdon Pike Huntingdon Valley PA 19006.jpg,976 Old Huntingdon Pike,Huntingdon Valley,PA,19006,2022 Google,22-Jun,Picture,"https://www.google.com/maps/place/976+Old+Huntingdon+Pike,+Huntingdon+Valley,+PA+19006/@40.094562,-75.0947066,3a,75y,253.36h,90t/data=!3m7!1e1!3m5!1s9WY-_vXUBYWqkR05iVdk8Q!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D9WY-_vXUBYWqkR05iVdk8Q%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D253.35573%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m6!3m5!1s0x89c6b11741d81241:0xdde634c5dfc98fe5!8m2!3d40.0944976!4d-75.0949916!10e5"
978 Sheffield Ln Huntingdon Valley PA 19006.jpg,978 Sheffield Ln,Huntingdon Valley,PA,19006,2022 Google,12-Sep,Picture,"https://www.google.com/maps/place/978+Sheffield+Ln,+Huntingdon+Valley,+PA+19006/@40.1553515,-75.0459004,3a,75y,273.21h,90t/data=!3m7!1e1!3m5!1sTUQwmEQaLg3aqzJiciCc1w!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DTUQwmEQaLg3aqzJiciCc1w%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D273.21204%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656!4m6!3m5!1s0x89c6adee33bbe5bf:0x3c58c617ebe47a19!8m2!3d40.1553667!4d-75.0462157!10e5"
978 Warfield Ln Huntingdon Valley PA 19006.jpg,978 Warfield Ln,Huntingdon Valley,PA,19006,2022 Google,18-Oct,Picture,"https://www.google.com/maps/place/978+Warfield+Ln,+Huntingdon+Valley,+PA+19006/@40.1490706,-75.0523249,3a,75y,194.82h,90t/data=!3m7!1e1!3m5!1sXjfFEHqJxbYSr7Eqy6IR1Q!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DXjfFEHqJxbYSr7Eqy6IR1Q%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D194.81955%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m6!3m5!1s0x89c6adf90a192b3b:0xeb8b049c26f3ccda!8m2!3d40.1487903!4d-75.0524218!10e5"
