filename,address,city,state,zipcode,map_year,image_captured_date,image_type,link
0 Abington Ave Glenside PA 19038.jpg,0 Abington Ave,Glenside,PA,19038,2022 Google,18-Aug,Picture,"https://www.google.com/maps/place/Abington+Ave,+Glenside,+PA+19038/@40.1074581,-75.1419741,3a,75y,99.65h,90t/data=!3m7!1e1!3m5!1sFW5epA-EsJlkyaEtCjocaQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DFW5epA-EsJlkyaEtCjocaQ%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D99.64513%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6b08fe67c3d29:0x3104db4305b03e82!8m2!3d40.1066304!4d-75.1416178"
0 Alden Rd Huntingdon Valley PA 19006.jpg,0 Alden Rd,Huntingdon Valley,PA,19006,2022 Google,22-Jun,Picture,"https://www.google.com/maps/place/Alden+Rd,+Huntingdon+Valley,+PA+19006/@40.129957,-75.0664763,3a,75y,160.29h,90t/data=!3m7!1e1!3m5!1s59m_v9Ktuh_re9Cp2ZZG-w!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D59m_v9Ktuh_re9Cp2ZZG-w%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D160.29297%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6b1f48fa8f1e7:0x7fdcfd43b148397a!8m2!3d40.1299427!4d-75.0665132"
0 Alnwick Rd Huntingdon Valley PA 19006.jpg,0 Alnwick Rd,Huntingdon Valley,PA,19006,2022 Google,18-Aug,Picture,"https://www.google.com/maps/place/Alnwick+Rd,+Huntingdon+Valley,+PA+19006/@40.1311561,-75.0661783,3a,75y,349.63h,90t/data=!3m7!1e1!3m5!1sAwJiJ7iIp5espu5HIp_BKg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DAwJiJ7iIp5espu5HIp_BKg%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D349.62878%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6b1f404de8995:0xa2d55c2e06a34fa3!8m2!3d40.1321928!4d-75.0660781"
0 Bethlehem Pike Glenside PA 19038.jpg,0 Bethlehem Pike,Glenside,PA,19038,2022 Google,19-Oct,Picture,"https://www.google.com/maps/place/Bethlehem+Pike,+Erdenheim,+PA+19038/@40.0997987,-75.2126473,3a,75y,248.67h,90t/data=!3m7!1e1!3m5!1sQRQwMQnbMX1U01IGdB7Rtg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DQRQwMQnbMX1U01IGdB7Rtg%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D248.6707%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6bbcf6050838d:0x5e0f920ad9f41c01!8m2!3d40.099666!4d-75.2127169"
0 Bickley Rd Glenside PA 19038.jpg,0 Bickley Rd,Glenside,PA,19038,2022 Google,19-Sep,Picture,"https://www.google.com/maps/place/Bickley+Rd,+Erdenheim,+PA+19038/@40.0961887,-75.1560911,3a,75y,303.16h,90t/data=!3m7!1e1!3m5!1sgX4W8SzzkmxPsZC2F0M28g!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DgX4W8SzzkmxPsZC2F0M28g%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D303.15866%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6ba0a5f560ce3:0x6f0d3c4ae851804c!8m2!3d40.0965016!4d-75.1557861"
0 Brook Rd Abington PA 19001.jpg,0 Brook Rd,Abington,PA,19001,2022 Google,22-Jun,Picture,"https://www.google.com/maps/place/Brook+Rd,+OGONTZ+CAMPUS,+PA+19001/@40.1121397,-75.1222924,3a,75y,290.72h,90t/data=!3m7!1e1!3m5!1sYepHA0foKHdjQKQV7qdZlw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DYepHA0foKHdjQKQV7qdZlw%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D290.7198%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6b0f7ab4746a5:0x90077b5926d0c22b!8m2!3d40.1114709!4d-75.1201862"
0 Buck Rd Huntingdon Valley PA 19006.jpg,0 Buck Rd,Huntingdon Valley,PA,19006,2022 Google,18-Aug,Picture,"https://www.google.com/maps/place/Buck+Rd,+Huntingdon+Valley,+PA+19006/@40.1434885,-75.0384544,3a,75y,211.56h,90t/data=!3m7!1e1!3m5!1sTYgjGaglIrr7cAydgIngNg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DTYgjGaglIrr7cAydgIngNg%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D211.56482%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6b20aa63547d5:0xa65cba89fd624663!8m2!3d40.1462245!4d-75.0397585"
0 Central Ave Glenside PA 19038.jpg,0 Central Ave,Glenside,PA,19038,2022 Google,18-Sep,Picture,"https://www.google.com/maps/place/Central+Ave,+Glenside,+PA+19038/@40.119258,-75.159941,3a,75y,137.34h,90t/data=!3m7!1e1!3m5!1s294jCDPUIlqUr-bu1gr4Cg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D294jCDPUIlqUr-bu1gr4Cg%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D137.34444%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6ba7e0310fe15:0xbdccbff090795104!8m2!3d40.1137422!4d-75.1629303"
0 Cheltenham Ave Glenside PA 19038.jpg,0 Cheltenham Ave,Glenside,PA,19038,2022 Google,19-Oct,Picture,"https://www.google.com/maps/place/W+Cheltenham+Ave,+Pennsylvania/@40.0748406,-75.1587258,3a,75y,269.84h,90t/data=!3m7!1e1!3m5!1sgtOVjpXVMgIPAZuhXL62nw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DgtOVjpXVMgIPAZuhXL62nw%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D269.84332%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6b9fe97ad3e4b:0x2c65df9a0ddfdf8d!8m2!3d40.0742053!4d-75.1584843"
0 Cherokee Ave Huntingdon Valley PA 19006.jpg,0 Cherokee Ave,Huntingdon Valley,PA,19006,2022 Google,22-Jun,Picture,"https://www.google.com/maps/place/Cherokee+Ave,+Bryn+Athyn,+PA+19006/@40.093286,-75.0946378,3a,75y,299.55h,90t/data=!3m7!1e1!3m5!1sSsG8xcWc4C5740NcoBo1cg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DSsG8xcWc4C5740NcoBo1cg%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D299.55112%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6b117756ab775:0x72e651c701328956!8m2!3d40.093373!4d-75.0945653"
